Date,Description,Reference,Amount,Cheque No.
05/06/2016,Withdrew for office use.,,-10000,
09/06/2016,Deposited money in bank ,,32000,
16/06/2016,Paul Lwenya paid a debt he owed via cheque,,15500,15480
18/06/2016,Paid a outstanding debt to Simon our creditor.,,-7000,
20/06/2016,Deposited some cash to bank,,35200,
21/06/2016,Deposited cash to bank,,10000,
23/06/2016,Withdrew cash for office use.,,2000,
24/06/2016,Paid Ken an outstanding debt via check,,5000,20154
27/06/2016,Steve deposited his payment to our account,,12250,
29/06/2016,Paid two of our employees via check,,40000,15089
